ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:10:00Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:00Z,formbricks-hub-6d86596db9-7xckk,hub,2,11,0,Running
2026-05-19T14:10:00Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6031,3041,0,Running
2026-05-19T14:10:00Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:07Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:07Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:10:07Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:07Z,formbricks-hub-6d86596db9-7xckk,hub,2,11,0,Running
2026-05-19T14:10:07Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5815,3042,0,Running
2026-05-19T14:10:07Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:15Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:15Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:10:15Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:15Z,formbricks-hub-6d86596db9-7xckk,hub,2,11,0,Running
2026-05-19T14:10:15Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5815,3042,0,Running
2026-05-19T14:10:15Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:22Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:22Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:10:22Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:22Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:10:22Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6520,3043,0,Running
2026-05-19T14:10:22Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:29Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:29Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:10:29Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:29Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:10:29Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6520,3043,0,Running
2026-05-19T14:10:29Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:36Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:36Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:10:36Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:10:36Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:10:36Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6520,3043,0,Running
2026-05-19T14:10:36Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:10:44Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
